"Minnesota Population Projections by Age and Gender, 2017-2065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minnesota State Demographic Center, December 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megan Dayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reissue of August 2015 dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Sex,Age,2013**,2014**,2015**,2016**,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
27,Total,40,62416,61855,65012,63849,66851,69221,72133,76957,77217,78290,77996,76726,79283,77374,76251,76106,76045,75591,77514,80490,78260,80320,76612,76979,77222,76975,77347,79134,79034,77804,79560,81768,81579,81765,83294,82939,80552,81028,81081,81708,81467,82177,82954,83549,83975,84308,84528,84727,84917,85126,85350,85590,85869,86146,86439,86766,87103,87434
27,Total,41,65038,62302,61689,64838,64220,66760,69126,72034,76851,77111,78180,77886,76616,79168,77261,76139,75992,75929,75490,77426,80414,78202,80257,76554,76920,77184,76956,77348,79136,79037,77813,79577,81794,81617,81815,83360,83021,80647,81129,81185,81815,81576,82287,83068,83669,84100,84439,84663,84868,85063,85277,85506,85752,86036,86318,86617,86948,87290
27,Total,42,71064,64940,61997,61528,65156,64091,66626,68988,71889,76696,76954,78021,77727,76458,79004,77101,75978,75831,75780,75359,77304,80303,78098,80146,76450,76836,77117,76911,77303,79092,78999,77782,79554,81782,81619,81832,83392,83069,80699,81185,81246,81879,81635,82353,83138,83745,84181,84525,84754,84964,85165,85383,85618,85869,86158,86446,86749,87084
27,Total,43,72374,70965,64846,61953,61871,65169,64103,66638,68999,71901,76707,76964,78029,77734,76462,79005,77100,75973,75836,75796,75392,77352,80355,78153,80196,76522,76925,77225,77018,77413,79209,79123,77913,79698,81942,81792,82020,83599,83280,80908,81398,81462,82090,81848,82570,83360,83973,84415,84763,84998,85213,85419,85643,85880,86137,86431,86723,87031
27,Total,44,69776,72209,70757,64645,62246,61752,65043,63980,66510,68865,71761,76557,76813,77875,77580,76309,78846,76943,75832,75707,75679,75292,77249,80250,78054,80111,76463,76886,77187,76981,77381,79184,79107,77908,79706,81963,81831,82074,83659,83345,80976,81471,81533,82163,81924,82649,83446,84063,84510,84863,85102,85323,85533,85762,86005,86266,86565,86861
27,Total,45,67850,69547,72010,70494,64768,62047,61553,64834,63774,66296,68644,71530,76311,76565,77623,77329,76061,78590,76707,75612,75499,75483,75100,77053,80047,77880,79951,76333,76755,77057,76858,77264,79074,79008,77823,79634,81905,81789,82037,83627,83319,80955,81449,81515,82147,81911,82641,83441,84063,84516,84874,85117,85343,85558,85792,86040,86305,86609
27,Total,46,68708,67765,69365,71848,70845,64750,62029,61535,64815,63754,66275,68622,71507,76284,76537,77592,77295,76025,78565,76694,75608,75504,75484,75107,77061,80078,77938,80021,76405,76826,77132,76939,77354,79176,79122,77947,79777,82066,81954,82206,83804,83498,81127,81624,81693,82325,82091,82824,83629,84255,84712,85075,85323,85554,85772,86010,86263,86532
27,Total,47,71072,68456,67383,69157,72027,70614,64539,61827,61334,64603,63544,66057,68397,71270,76032,76283,77334,77037,75784,78329,76477,75406,75299,75278,74905,76875,79907,77796,79871,76266,76691,77003,76819,77244,79076,79036,77877,79720,82012,81905,82163,83763,83458,81092,81592,81664,82298,82067,82802,83611,84241,84703,85071,85323,85558,85780,86023,86280
27,Total,48,75949,70994,68372,67264,69237,71862,70451,64390,61685,61193,64454,63397,65904,68238,71104,75854,76103,77150,76866,75628,78180,76344,75270,75160,75137,74788,76775,79827,77724,79791,76200,76630,76949,76774,77210,79055,79030,77887,79734,82030,81928,82189,83787,83488,81125,81628,81702,82336,82106,82845,83657,84292,84758,85131,85387,85627,85853,86099
27,Total,49,78546,75482,70539,68060,67118,68910,71524,70120,64087,61395,60905,64150,63099,65593,67916,70769,75495,75744,76801,76531,75314,77868,76039,74968,74858,74855,74529,76531,79575,77484,79546,75976,76414,76742,76580,77030,78887,78877,77741,79591,81888,81790,82051,83651,83357,81003,81510,81588,82225,81998,82739,83555,84194,84664,85041,85302,85546,85776
27,Total,50,80518,78154,75175,70296,68023,66906,68693,71298,69898,63885,61201,60713,63948,62899,65385,67701,70544,75255,75517,76584,76330,75127,77673,75848,74778,74686,74699,74399,76398,79441,77363,79424,75872,76319,76657,76509,76973,78844,78839,77708,79561,81862,81763,82029,83633,83344,80994,81504,81586,82224,82000,82743,83562,84206,84679,85060,85327,85574
27,Total,51,80644,79998,77655,74723,70014,67658,66546,68324,70915,69523,63542,60874,60388,63606,62562,65034,67338,70165,74866,75141,76217,75978,74781,77315,75499,74452,74378,74410,74115,76110,79148,77089,79149,75623,76078,76429,76298,76776,78647,78649,77525,79379,81672,81579,81850,83455,83172,80832,81345,81431,82070,81848,82594,83416,84063,84540,84924,85196
27,Total,52,83219,80210,79603,77194,74744,69758,67411,66303,68074,70656,69269,63310,60651,60168,63375,62334,64798,67092,69923,74621,74908,75995,75755,74559,77083,75292,74265,74208,74237,73950,75945,78987,76946,79006,75503,75970,76333,76216,76698,78572,78579,77460,79309,81606,81516,81791,83400,83121,80787,81303,81390,82028,81810,82557,83382,84032,84514,84901
27,Total,53,83472,82700,79660,79152,77162,74410,69446,67109,66006,67770,70340,68959,63027,60381,59900,63093,62057,64509,66806,69638,74331,74630,75712,75473,74280,76815,75049,74041,73982,74011,73734,75732,78777,76758,78819,75341,75822,76197,76085,76571,78447,78457,77339,79189,81487,81401,81681,83292,83016,80690,81208,81300,81937,81721,82469,83297,83949,84435
27,Total,54,80510,83062,82271,79230,79259,76906,74164,69216,66887,65787,67545,70107,68731,62818,60181,59702,62885,61851,64309,66612,69448,74141,74438,75517,75275,74104,76652,74906,73897,73835,73864,73602,75606,78659,76662,78724,75270,75764,76141,76033,76522,78401,78409,77295,79147,81447,81365,81649,83263,82990,80669,81189,81283,81918,81702,82453,83284,83938
27,Total,55,79794,80090,82531,81732,79182,78760,76421,73696,68780,66466,65372,67119,69665,68297,62422,59802,59327,62490,61476,63930,66233,69066,73734,74029,75101,74881,73736,76290,74553,73548,73489,73524,73276,75282,78337,76367,78432,75009,75505,75884,75781,76273,78145,78157,77050,78901,81199,81122,81409,83022,82756,80446,80967,81064,81699,81484,82238,83070
27,Total,56,77990,79241,79396,81877,81717,78651,78232,75907,73201,68317,66019,64932,66666,69197,67838,62002,59399,58930,62083,61089,63541,65842,68659,73300,73592,74679,74481,73360,75903,74175,73178,73125,73167,72934,74943,78001,76060,78126,74726,75222,75604,75506,75995,77865,77882,76784,78632,80927,80854,81146,82758,82497,80198,80721,80821,81455,81243,81998
27,Total,57,74852,77401,78650,78747,81803,81214,78165,77748,75436,72747,67893,65610,64529,66253,68767,67418,61618,59032,58577,61725,60750,63202,65490,68293,72908,73219,74320,74143,73026,75557,73842,72853,72806,72855,72640,74655,77721,75807,77863,74484,74981,75365,75265,75757,77626,77648,76556,78403,80696,80626,80923,82533,82278,79988,80514,80615,81247,81037
27,Total,58,73698,74265,76608,77982,78598,81191,80606,77579,77165,74869,72200,67382,65117,64043,65754,68251,66911,61154,58601,58161,61301,60346,62782,65056,67840,72446,72775,73889,73713,72604,75123,73425,72447,72409,72466,72271,74291,77360,75464,77512,74155,74654,75033,74938,75432,77297,77324,76241,78085,80372,80307,80607,82213,81963,79687,80214,80318,80947
27,Total,59,71207,72999,73458,75940,77460,77961,80532,79951,76949,76536,74259,71612,66832,64586,63520,65217,67694,66365,60668,58147,57724,60852,59906,62327,64586,67369,71963,72309,73416,73242,72144,74653,72973,72008,71978,72046,71872,73895,76957,75081,77115,73785,74278,74658,74568,75063,76924,76955,75880,77719,80000,79939,80241,81844,81599,79337,79865,79970
