date,state,fips,cases,deaths,datetime,rate
2020-03-03,Wisconsin,55,1,0,2020-03-03,0.1717494779674617
2020-03-03,Utah,49,1,0,2020-03-03,0.31191924535505455
2020-03-03,New York,36,2,0,2020-03-03,0.10280894073840774
2020-03-03,New Hampshire,33,2,0,2020-03-03,1.470900801714482
2020-03-03,Nebraska,31,13,0,2020-03-03,6.7204023142997755
2020-03-03,Massachusetts,25,2,0,2020-03-03,0.28779036428936
2020-03-03,Illinois,17,4,0,2020-03-03,0.31566102456781864
2020-03-03,Georgia,13,2,0,2020-03-03,0.18836962603825805
2020-03-03,Florida,12,3,0,2020-03-03,0.13967952023995822
2020-03-03,California,6,45,0,2020-03-03,1.1388880853400731
2020-03-03,Arizona,4,2,0,2020-03-03,0.2747736998155032
2020-03-04,Wisconsin,55,1,0,2020-03-04,0.1717494779674617
2020-03-04,Washington,53,47,11,2020-03-04,6.17211561606972
2020-03-04,Utah,49,1,0,2020-03-04,0.31191924535505455
2020-03-04,Texas,48,12,0,2020-03-04,0.413851884686656
2020-03-04,Rhode Island,44,2,0,2020-03-04,1.8879305543624882
2020-03-04,Oregon,41,2,0,2020-03-04,0.4741879353786166
2020-03-04,North Carolina,37,1,0,2020-03-04,0.09534629966731768
2020-03-04,New Jersey,34,1,0,2020-03-04,0.11258484675513585
2020-03-04,New York,36,11,0,2020-03-04,0.5654491740612425
2020-03-04,Nebraska,31,13,0,2020-03-04,6.7204023142997755
2020-03-04,Massachusetts,25,2,0,2020-03-04,0.28779036428936
2020-03-04,Illinois,17,4,0,2020-03-04,0.31566102456781864
2020-03-04,Georgia,13,2,0,2020-03-04,0.18836962603825805
2020-03-04,Florida,12,3,0,2020-03-04,0.13967952023995822
2020-03-04,California,6,55,1,2020-03-04,1.3919743265267561
2020-03-04,Arizona,4,2,0,2020-03-04,0.2747736998155032
2020-03-04,New Hampshire,33,2,0,2020-03-04,1.470900801714482
2020-03-05,New York,36,22,0,2020-03-05,1.130898348122485
2020-03-05,North Carolina,37,1,0,2020-03-05,0.09534629966731768
2020-03-05,Oregon,41,2,0,2020-03-05,0.4741879353786166
2020-03-05,Rhode Island,44,2,0,2020-03-05,1.8879305543624882
2020-03-05,Wisconsin,55,1,0,2020-03-05,0.1717494779674617
2020-03-05,Texas,48,16,0,2020-03-05,0.5518025129155414
2020-03-05,Utah,49,1,0,2020-03-05,0.31191924535505455
2020-03-05,Washington,53,75,11,2020-03-05,9.849120663941042
2020-03-05,Tennessee,47,1,0,2020-03-05,0.14634487574881014
2020-03-05,New Jersey,34,2,0,2020-03-05,0.2251696935102717
2020-03-05,Illinois,17,5,0,2020-03-05,0.3945762807097733
2020-03-05,Nevada,32,2,0,2020-03-05,0.6493177618276477
2020-03-05,Nebraska,31,13,0,2020-03-05,6.7204023142997755
2020-03-05,Massachusetts,25,3,0,2020-03-05,0.43168554643403995
2020-03-05,Maryland,24,3,0,2020-03-05,0.4962220957774808
2020-03-05,Georgia,13,2,0,2020-03-05,0.18836962603825805
2020-03-05,Florida,12,4,0,2020-03-05,0.1862393603199443
2020-03-05,Colorado,8,2,0,2020-03-05,0.3472984349343328
2020-03-05,California,6,67,1,2020-03-05,1.6956778159507755
2020-03-05,Arizona,4,2,0,2020-03-05,0.2747736998155032
2020-03-05,New Hampshire,33,2,0,2020-03-05,1.470900801714482
2020-03-06,New York,36,44,0,2020-03-06,2.26179669624497
2020-03-06,North Carolina,37,2,0,2020-03-06,0.19069259933463537
2020-03-06,Oklahoma,40,1,0,2020-03-06,0.2527185566939965
2020-03-06,Oregon,41,2,0,2020-03-06,0.4741879353786166
2020-03-06,Pennsylvania,42,2,0,2020-03-06,0.15622572398710854
2020-03-06,Rhode Island,44,3,0,2020-03-06,2.8318958315437324
2020-03-06,Utah,49,3,0,2020-03-06,0.9357577360651637
2020-03-06,Tennessee,47,1,0,2020-03-06,0.14634487574881014
2020-03-06,Wisconsin,55,1,0,2020-03-06,0.1717494779674617
2020-03-06,Texas,48,19,0,2020-03-06,0.6552654840872053
2020-03-06,Washington,53,86,12,2020-03-06,11.293658361319062
2020-03-06,New Jersey,34,4,0,2020-03-06,0.4503393870205434
2020-03-06,South Carolina,45,2,0,2020-03-06,0.3884465130516086
2020-03-06,New Hampshire,33,2,0,2020-03-06,1.470900801714482
2020-03-06,Florida,12,7,2,2020-03-06,0.32591888055990254
2020-03-06,Nebraska,31,14,0,2020-03-06,7.2373563384766815
2020-03-06,Nevada,32,2,0,2020-03-06,0.6493177618276477
2020-03-06,Arizona,4,3,0,2020-03-06,0.4121605497232548
2020-03-06,California,6,81,1,2020-03-06,2.0499985536121317
2020-03-06,Georgia,13,3,0,2020-03-06,0.2825544390573871
2020-03-06,Hawaii,15,1,0,2020-03-06,0.7062785336527596
2020-03-06,Colorado,8,8,0,2020-03-06,1.3891937397373313
2020-03-06,Indiana,18,1,0,2020-03-06,0.14853943402613612
2020-03-06,Kentucky,21,1,0,2020-03-06,0.22383016841205702
2020-03-06,Maryland,24,3,0,2020-03-06,0.4962220957774808
2020-03-06,Massachusetts,25,8,0,2020-03-06,1.15116145715744
2020-03-06,Minnesota,27,1,0,2020-03-06,0.17731653412846796
2020-03-06,Illinois,17,6,0,2020-03-06,0.47349153685172796
2020-03-07,Rhode Island,44,3,0,2020-03-07,2.8318958315437324
2020-03-07,New York,36,89,0,2020-03-07,4.574997862859144
2020-03-07,North Carolina,37,2,0,2020-03-07,0.19069259933463537
2020-03-07,Oklahoma,40,1,0,2020-03-07,0.2527185566939965
2020-03-07,Oregon,41,6,0,2020-03-07,1.4225638061358497
2020-03-07,Pennsylvania,42,4,0,2020-03-07,0.3124514479742171
2020-03-07,South Carolina,45,2,0,2020-03-07,0.3884465130516086
2020-03-07,Washington,53,110,16,2020-03-07,14.445376973780196
2020-03-07,Texas,48,19,0,2020-03-07,0.6552654840872053
2020-03-07,Utah,49,3,0,2020-03-07,0.9357577360651637
2020-03-07,Vermont,50,1,0,2020-03-07,1.602592353390845
2020-03-07,Virginia,51,1,0,2020-03-07,9.53161637150428
2020-03-07,New Hampshire,33,4,0,2020-03-07,2.941801603428964
2020-03-07,Wisconsin,55,1,0,2020-03-07,0.1717494779674617
2020-03-07,Tennessee,47,1,0,2020-03-07,0.14634487574881014
2020-03-07,Nevada,32,2,0,2020-03-07,0.6493177618276477
2020-03-07,New Jersey,34,4,0,2020-03-07,0.4503393870205434
2020-03-07,Missouri,29,1,0,2020-03-07,0.16293470163723306
2020-03-07,Nebraska,31,14,0,2020-03-07,7.2373563384766815
2020-03-07,Arizona,4,5,0,2020-03-07,0.6869342495387579
2020-03-07,California,6,100,1,2020-03-07,2.530862411866829
2020-03-07,Colorado,8,8,0,2020-03-07,1.3891937397373313
2020-03-07,District of Columbia,11,1,0,2020-03-07,1.4169343491807995
